order_id,customer_name,new_order_date,order_year,month_name,order_month,order_day,category,sub_category,net_sales,discount,profit,total_sales,profit_percentage,region,city,Product_price
OD111,Sundar,25-12-2018,2018,December,12,25,Food Grains,Dals & Pulses,981.42,0.12,505.58,1487,51.51515152,East,Namakkal,1487.12
OD112,Arvind,03-11-2017,2017,November,11,3,Bakery,Breads & Buns,2109,0.1,111,2220,5.263157895,Central,Pudukottai,2220.1
OD113,Ravi,03-11-2017,2017,November,11,3,Oil & Masala,Edible Oil & Ghee,1573.15,0.3,581.85,2155,36.98630137,Central,Dindigul,2155.3
OD114,Vinne,25-08-2015,2015,August,8,25,Fruits & Veggies,Fresh Vegetables,1084.76,0.1,69.24,1154,6.382978723,East,Krishnagiri,1154.1
OD115,Muneer,25-08-2015,2015,August,8,25,Snacks,Noodles,2178,0.11,242,2420,11.11111111,East,Salem,2420.11
OD116,Rumaiza,25-08-2015,2015,August,8,25,Snacks,Chocolates,1017.9,0.24,287.1,1305,28.20512821,East,Karur,1305.24
OD117,Hussain,25-08-2015,2015,August,8,25,Fruits & Veggies,Organic Fruits,769.41,0.2,157.59,927,20.48192771,East,Bodi,927.2
OD118,Arvind,02-03-2016,2016,March,3,2,Fruits & Veggies,Organic Vegetables,796.23,0.11,186.77,983,23.45679012,West,Viluppuram,983.11
OD119,Akash,05-04-2016,2016,April,4,5,Food Grains,Rice,812.7,0.1,90.3,903,11.11111111,South,Chennai,903.1
OD120,Ganesh,12-06-2017,2017,June,6,12,"Eggs, Meat & Fish",Chicken,1160.9,0.12,74.1,1235,6.382978723,East,Cumbum,1235.12
OD121,Alan,12-06-2017,2017,June,6,12,Fruits & Veggies,Organic Vegetables,1068.98,0.24,174.02,1243,16.27906977,East,Tirunelveli,1243.24
OD122,Harish,12-06-2017,2017,June,6,12,Bakery,Cakes,447.81,0.34,201.19,649,44.92753623,East,Krishnagiri,649.34
OD123,Veronica,12-06-2017,2017,June,6,12,"Eggs, Meat & Fish",Mutton,2165.68,0.11,188.32,2354,8.695652174,East,Tenkasi,2354.11
OD124,Anu,12-06-2017,2017,June,6,12,Beverages,Soft Drinks,1255.41,0.27,187.59,1443,14.94252874,East,Cumbum,1443.27
OD125,Sudeep,26-12-2015,2015,December,12,26,Bakery,Breads & Buns,585,0.26,390,975,66.66666667,Central,Madurai,975.26
OD126,Yusuf,20-09-2015,2015,September,9,20,Fruits & Veggies,Organic Vegetables,817.88,0.19,71.12,889,8.695652174,Central,Virudhunagar,889.19
OD127,Shah,05-11-2018,2018,November,11,5,"Eggs, Meat & Fish",Mutton,1481.76,0.17,870.24,2352,58.73015873,West,Karur,2352.17
OD128,Harish,05-11-2018,2018,November,11,5,Oil & Masala,Spices,956.82,0.23,336.18,1293,35.13513514,West,Tirunelveli,1293.23
OD129,Sharon,06-11-2017,2017,November,11,6,Food Grains,Rice,860.22,0.29,597.78,1458,69.49152542,West,Bodi,1458.29
OD130,Peer,06-11-2017,2017,November,11,6,Food Grains,Atta & Flour,1674.93,0.22,126.07,1801,7.52688172,West,Coimbatore,1801.22
OD131,Haseena,02-02-2018,2018,February,2,2,Snacks,Chocolates,844.87,0.29,416.13,1261,49.25373134,East,Tenkasi,1261.29
OD132,Sundar,02-02-2018,2018,February,2,2,Beverages,Soft Drinks,2006.4,0.28,105.6,2112,5.263157895,East,Nagercoil,2112.28
OD133,Ram,02-02-2018,2018,February,2,2,"Eggs, Meat & Fish",Fish,499.2,0.24,140.8,640,28.20512821,East,Ramanadhapuram,640.24
OD134,Shah,13-10-2017,2017,October,10,13,Bakery,Cakes,1342.98,0.12,315.02,1658,23.45679012,West,Tenkasi,1658.12
OD135,Harish,13-10-2017,2017,October,10,13,Beverages,Health Drinks,1708.56,0.18,664.44,2373,38.88888889,West,Ramanadhapuram,2373.18
OD136,Veena,13-10-2017,2017,October,10,13,Fruits & Veggies,Organic Fruits,915.2,0.19,514.8,1430,56.25,West,Cumbum,1430.19
OD137,Sundar,13-10-2017,2017,October,10,13,Oil & Masala,Spices,1198.72,0.3,674.28,1873,56.25,West,Viluppuram,1873.3
OD138,Jackson,13-10-2017,2017,October,10,13,"Eggs, Meat & Fish",Eggs,537.54,0.14,329.46,867,61.29032258,West,Theni,867.14
OD139,Malik,13-10-2017,2017,October,10,13,Snacks,Noodles,616.56,0.19,484.44,1101,78.57142857,West,Theni,1101.19
OD140,Hussain,13-10-2017,2017,October,10,13,"Eggs, Meat & Fish",Mutton,663.68,0.28,424.32,1088,63.93442623,West,Ooty,1088.28
OD141,Veena,05-09-2017,2017,September,9,5,Bakery,Biscuits,484.96,0.32,381.04,866,78.57142857,East,Perambalur,866.32
OD142,Aditi,18-09-2018,2018,September,9,18,Oil & Masala,Masalas,2259.53,0.14,223.47,2483,9.89010989,West,Tirunelveli,2483.14
OD143,Surya,18-09-2018,2018,September,9,18,Food Grains,Atta & Flour,1041.3,0.11,293.7,1335,28.20512821,West,Kanyakumari,1335.11
OD144,Sharon,18-09-2018,2018,September,9,18,"Eggs, Meat & Fish",Fish,512.55,0.24,252.45,765,49.25373134,West,Tenkasi,765.24
OD145,Vinne,22-12-2018,2018,December,12,22,"Eggs, Meat & Fish",Mutton,1778.22,0.2,624.78,2403,35.13513514,Central,Tenkasi,2403.2
OD146,Malik,07-09-2016,2016,September,9,7,Oil & Masala,Edible Oil & Ghee,977.13,0.13,573.87,1551,58.73015873,West,Coimbatore,1551.13
OD147,Ridhesh,22-10-2015,2015,October,10,22,Food Grains,Organic Staples,1376.32,0.27,187.68,1564,13.63636364,East,Theni,1564.27
OD148,Harish,05-12-2017,2017,December,12,5,Fruits & Veggies,Fresh Vegetables,832.5,0.33,292.5,1125,35.13513514,Central,Tirunelveli,1125.33
OD149,Veronica,05-12-2017,2017,December,12,5,Beverages,Health Drinks,583.68,0.1,184.32,768,31.57894737,Central,Tenkasi,768.1
OD150,Ravi,05-12-2017,2017,December,12,5,"Eggs, Meat & Fish",Fish,1250.55,0.26,734.45,1985,58.73015873,Central,Vellore,1985.26
OD151,Muneer,05-12-2017,2017,December,12,5,Food Grains,Rice,1257.85,0.13,1029.15,2287,81.81818182,Central,Bodi,2287.13
OD152,Jackson,13-03-2017,2017,March,3,13,Snacks,Chocolates,680.72,0.34,335.28,1016,49.25373134,West,Pudukottai,1016.34
OD153,Amy,13-03-2017,2017,March,3,13,Snacks,Cookies,775.32,0.26,76.68,852,9.89010989,West,Namakkal,852.26
OD154,Ram,31-05-2016,2016,May,5,31,Food Grains,Organic Staples,998.73,0.28,234.27,1233,23.45679012,West,Ramanadhapuram,1233.28
OD155,Jonas,31-05-2016,2016,May,5,31,Snacks,Noodles,1609.92,0.14,626.08,2236,38.88888889,West,Pudukottai,2236.14
OD156,Ramesh,31-05-2016,2016,May,5,31,Fruits & Veggies,Fresh Vegetables,1378.44,0.32,809.56,2188,58.73015873,West,Viluppuram,2188.32
OD157,Peer,28-05-2016,2016,May,5,28,Snacks,Cookies,657.26,0.2,456.74,1114,69.49152542,West,Coimbatore,1114.2
OD158,Komal,01-03-2015,2015,March,3,1,Oil & Masala,Edible Oil & Ghee,1153.1,0.15,620.9,1774,53.84615385,West,Salem,1774.15
OD159,Amy,20-11-2017,2017,November,11,20,Beverages,Soft Drinks,1323.84,0.21,1040.16,2364,78.57142857,Central,Karur,2364.21
OD160,Amrish,20-11-2017,2017,November,11,20,Food Grains,Dals & Pulses,1338.3,0.11,148.7,1487,11.11111111,Central,Madurai,1487.11
OD161,Yadav,11-05-2017,2017,May,5,11,Beverages,Soft Drinks,520.49,0.3,192.51,713,36.98630137,West,Ooty,713.3
OD162,Vinne,28-12-2016,2016,December,12,28,"Eggs, Meat & Fish",Fish,456.94,0.2,280.06,737,61.29032258,East,Kanyakumari,737.2
OD163,Amrish,16-11-2017,2017,November,11,16,Snacks,Chocolates,662.64,0.26,341.36,1004,51.51515152,West,Trichy,1004.26
OD164,Hussain,07-11-2017,2017,November,11,7,Snacks,Cookies,1394.72,0.32,121.28,1516,8.695652174,West,Theni,1516.32
OD165,Haseena,08-09-2015,2015,September,9,8,Food Grains,Atta & Flour,836.36,0.28,605.64,1442,72.4137931,Central,Ramanadhapuram,1442.28
OD166,Sudha,08-09-2015,2015,September,9,8,Beverages,Health Drinks,1267.5,0.33,422.5,1690,33.33333333,Central,Madurai,1690.33
OD167,Adavan,08-09-2015,2015,September,9,8,Snacks,Chocolates,1677.43,0.13,343.57,2021,20.48192771,Central,Bodi,2021.13
OD168,Aditi,08-09-2015,2015,September,9,8,"Eggs, Meat & Fish",Mutton,1848.6,0.25,491.4,2340,26.58227848,Central,Ooty,2340.25
OD169,Krithika,08-09-2015,2015,September,9,8,Oil & Masala,Spices,528.75,0.15,176.25,705,33.33333333,Central,Viluppuram,705.15
OD170,Sharon,08-09-2015,2015,September,9,8,"Eggs, Meat & Fish",Chicken,1154.25,0.2,60.75,1215,5.263157895,Central,Trichy,1215.2
OD171,Akash,08-09-2015,2015,September,9,8,Food Grains,Dals & Pulses,314.64,0.25,237.36,552,75.43859649,Central,Krishnagiri,552.25
OD172,Sabeela,05-08-2015,2015,August,8,5,Beverages,Health Drinks,847.2,0.11,564.8,1412,66.66666667,West,Tirunelveli,1412.11
OD173,Surya,05-08-2015,2015,August,8,5,Food Grains,Dals & Pulses,640.71,0.32,150.29,791,23.45679012,West,Tirunelveli,791.32
OD174,Alan,05-08-2015,2015,August,8,5,Fruits & Veggies,Organic Vegetables,2055.08,0.33,420.92,2476,20.48192771,West,Viluppuram,2476.33
OD175,Aditi,14-09-2015,2015,September,9,14,Fruits & Veggies,Fresh Vegetables,1275.31,0.27,471.69,1747,36.98630137,Central,Karur,1747.27
OD176,Shah,14-09-2015,2015,September,9,14,Fruits & Veggies,Organic Fruits,1124.61,0.15,848.39,1973,75.43859649,Central,Pudukottai,1973.15
OD177,Mathew,21-04-2018,2018,April,4,21,Oil & Masala,Spices,1478.25,0.24,546.75,2025,36.98630137,Central,Krishnagiri,2025.24
OD178,Rumaiza,21-11-2016,2016,November,11,21,Snacks,Noodles,792.48,0.29,223.52,1016,28.20512821,East,Vellore,1016.29
OD179,Arvind,21-11-2016,2016,November,11,21,Fruits & Veggies,Organic Fruits,633.88,0.3,55.12,689,8.695652174,East,Trichy,689.3
OD180,Krithika,15-12-2016,2016,December,12,15,Food Grains,Atta & Flour,978.28,0.16,343.72,1322,35.13513514,East,Karur,1322.16
OD181,Arvind,05-12-2015,2015,December,12,5,Snacks,Cookies,1171.65,0.25,433.35,1605,36.98630137,Central,Bodi,1605.25
OD182,Ravi,05-12-2015,2015,December,12,5,Beverages,Health Drinks,1546.2,0.2,171.8,1718,11.11111111,Central,Namakkal,1718.2
OD183,Jonas,19-11-2015,2015,November,11,19,Oil & Masala,Edible Oil & Ghee,1393.28,0.35,783.72,2177,56.25,South,Madurai,2177.35
OD184,Surya,19-11-2015,2015,November,11,19,Food Grains,Organic Staples,341.02,0.19,236.98,578,69.49152542,South,Cumbum,578.19
OD185,Amrish,19-11-2015,2015,November,11,19,Food Grains,Dals & Pulses,586.5,0.28,195.5,782,33.33333333,South,Dindigul,782.28
OD186,Shah,28-11-2017,2017,November,11,28,Snacks,Noodles,1290.84,0.35,97.16,1388,7.52688172,East,Chennai,1388.35
OD187,Krithika,26-08-2015,2015,August,8,26,Bakery,Cakes,1471.6,0.21,792.4,2264,53.84615385,West,Cumbum,2264.21
OD188,Anu,16-07-2017,2017,July,7,16,Beverages,Soft Drinks,674.79,0.16,138.21,813,20.48192771,Central,Pudukottai,813.16
